Nome do Produto;Categoria;Unidade de Medida;Praça
Farinha de Trigo Especial 00;Farinhas & Massas;kg;Pizza
Queijo Mussarela Especial Fatiado;Queijos & Laticínios;kg;Pizza, Cozinha
Molho de Tomate Pelati Italiano;Molhos & Bases;lata;Pizza
Filé Mignon Bovino Limpo Inteiro;Carnes & Pescados;kg;Cozinha
Azeite de Oliva Extra Virgem 500ml;Azeites & Óleos;garrafa;Pizza, Cozinha
Gin Tanqueray London Dry 750ml;Destilados & Bebidas;garrafa;Bar
Gelo Cristalino em Cubos;Gelo & Bases;pct;Bar, Salão
Vinho Tinto Malbec Reserva 750ml;Vinhos Tintos;garrafa;Salão
Taças de Cristal Degustação 450ml;Acessórios & Salão;un;Salão
Manjericão Fresco Orgânico;Hortifrúti;mç;Pizza, Cozinha
